type: rooms
name: 8room_005
algorithm: jpsplus
preprossessing [ms]: 1205

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
390	427	388	431	-0,00000	4,82843	4,82843	6	0
353	258	354	262	0,00000	4,41421	4,41421	6	0
25	484	20	484	-0,00000	7,82843	7,82843	11	0
146	241	142	242	-0,00000	7,82843	7,82843	11	0
242	180	242	186	-0,00000	6,82843	6,82843	7	0
242	17	235	19	-0,00000	7,82843	7,82843	10	0
254	438	251	443	-0,00000	6,82843	6,82843	10	0
226	126	221	123	0,00000	7,41421	7,41421	9	0
281	115	285	113	-0,00000	4,82843	4,82843	9	0
45	334	44	329	0,00000	5,41421	5,41421	6	0
459	138	469	141	0,00004	11,24260	11,24264	11	0
167	193	160	197	0,00000	8,65685	8,65685	6	0
98	95	98	103	0,00000	9,41421	9,41421	11	0
90	233	100	237	-0,00005	11,65690	11,65685	8	0
364	138	354	140	-0,00005	11,65690	11,65685	10	1
446	190	445	198	0,00004	11,24260	11,24264	9	0
179	67	175	71	0,00000	8,00000	8,00000	8	0
108	339	115	335	0,00003	11,82840	11,82843	16	0
179	91	179	100	-0,00002	11,48530	11,48528	11	0
122	484	127	475	-0,00005	11,65690	11,65685	13	0
410	283	415	273	-0,00003	12,07110	12,07107	10	0
443	328	446	339	0,00004	14,24260	14,24264	14	0
233	85	226	94	0,00004	14,24260	14,24264	14	0
38	351	27	351	-0,00005	12,65690	12,65685	8	0
20	115	28	108	0,00004	13,24260	13,24264	16	0
442	497	442	495	0,00000	12,00000	12,00000	12	0
287	441	290	443	0,00001	12,41420	12,41421	8	0
113	309	119	318	-0,00003	12,07110	12,07107	10	0
300	337	305	326	0,00001	15,41420	15,41421	20	0
15	28	4	34	-0,00002	15,48530	15,48528	12	0
142	77	141	68	-0,00002	18,48530	18,48528	17	0
381	79	373	87	-0,00003	17,07110	17,07107	10	0
460	377	470	370	-0,00003	16,07110	16,07107	13	0
223	4	236	3	-0,00001	17,89950	17,89949	13	0
287	89	271	95	-0,00002	18,48530	18,48528	7	0
17	249	28	251	0,00003	17,82840	17,82843	20	0
399	164	414	166	-0,00003	18,07110	18,07107	14	0
243	102	236	90	-0,00001	18,89950	18,89949	20	0
44	54	55	60	-0,00005	16,65690	16,65685	15	0
15	31	1	36	0,00004	17,24260	17,24264	11	0
25	89	9	81	-0,00005	21,65690	21,65685	14	0
28	218	11	213	-0,00001	21,89950	21,89949	16	0
390	161	377	147	0,00002	23,72790	23,72792	14	0
417	55	437	61	-0,00005	23,65690	23,65685	14	0
69	307	73	301	0,00002	22,72790	22,72792	30	0
444	329	449	332	0,00004	22,24260	22,24264	19	0
138	258	150	244	0,00001	21,31370	21,31371	19	0
161	292	180	290	-0,00005	20,65690	20,65685	13	0
332	95	337	94	-0,00003	23,07110	23,07107	26	0
447	176	454	190	0,00000	21,00000	21,00000	14	0
221	495	204	508	-0,00003	27,07110	27,07107	28	0
67	87	55	100	-0,00001	26,89950	26,89949	24	0
183	282	186	260	-0,00002	27,48530	27,48528	23	0
201	51	198	36	0,00001	25,31370	25,31371	21	0
100	399	103	409	-0,00002	25,48530	25,48528	26	0
442	252	434	262	0,00004	24,14210	24,14214	18	0
50	402	70	402	0,00004	24,14210	24,14214	17	0
370	230	390	236	-0,00005	27,65690	27,65685	28	0
327	103	325	82	0,00001	24,31370	24,31371	18	0
59	327	73	313	-0,00002	24,48530	24,48528	19	0
411	236	433	237	0,00001	28,31370	28,31371	37	0
95	452	86	473	0,00001	31,31370	31,31371	33	0
33	372	54	385	-0,00003	31,07110	31,07107	28	1
261	193	241	178	0,00005	30,55630	30,55635	35	0
153	63	146	39	0,00004	31,24260	31,24264	24	0
422	274	434	259	0,00002	29,72790	29,72792	38	0
331	355	332	334	-0,00002	30,38480	30,38478	41	0
66	69	42	61	-0,00005	29,65690	29,65685	22	0
169	358	187	369	-0,00004	31,97060	31,97056	30	0
132	351	110	350	0,00001	30,41420	30,41421	21	0
251	467	259	492	-0,00002	33,38480	33,38478	35	0
501	67	484	65	0,00004	35,14210	35,14214	41	0
183	51	154	41	-0,00001	34,89950	34,89949	37	0
270	22	269	31	-0,00001	35,89950	35,89949	32	0
478	476	451	470	-0,00004	35,97060	35,97056	42	0
276	146	302	161	0,00002	35,72790	35,72792	30	0
229	140	251	142	0,00004	34,14210	34,14214	23	1
127	178	106	159	-0,00001	35,89950	35,89949	45	0
28	159	39	129	0,00002	35,72790	35,72792	30	0
195	219	204	245	-0,00002	33,38480	33,38478	32	0
221	81	223	57	0,00004	36,14210	36,14214	52	0
499	401	498	375	0,00004	37,14210	37,14214	44	0
250	464	243	493	0,00005	39,55630	39,55635	51	0
15	54	42	68	0,00002	39,72790	39,72792	38	0
207	282	226	285	-0,00002	38,38480	38,38478	45	0
324	130	294	132	-0,00004	36,97060	36,97056	28	0
91	311	117	309	0,00000	39,21320	39,21320	50	0
185	100	165	99	-0,00002	39,38480	39,38478	47	0
378	382	404	403	-0,00004	39,97060	39,97056	41	0
80	47	108	53	-0,00004	38,97060	38,97056	46	1
38	269	14	295	0,00005	43,55630	43,55635	53	0
37	454	37	418	-0,00001	41,79900	41,79899	37	0
412	311	419	282	-0,00004	40,87010	40,87006	41	0
405	242	413	271	0,00002	43,62740	43,62742	56	0
347	57	335	85	-0,00002	40,48530	40,48528	43	0
233	146	261	167	0,00002	43,72790	43,72792	45	0
363	385	372	366	-0,00004	40,97060	40,97056	50	0
153	248	140	275	0,00002	42,72790	42,72792	34	0
13	382	39	361	0,00002	41,72790	41,72792	42	0
118	273	92	257	0,00005	43,55630	43,55635	48	0
102	471	134	473	0,00005	45,55630	45,55635	49	1
152	342	185	359	-0,00001	45,89950	45,89949	61	0
413	79	378	59	0,00000	46,21320	46,21320	44	0
59	458	93	461	-0,00002	45,38480	45,38478	79	0
98	406	87	386	-0,00002	45,48530	45,48528	67	0
193	399	163	406	0,00001	44,31370	44,31371	45	0
73	398	106	406	-0,00001	44,89950	44,89949	66	0
314	198	308	236	0,00000	47,21320	47,21320	74	0
131	77	108	53	-0,00001	46,79900	46,79899	55	0
398	239	419	267	-0,00002	47,38480	47,38478	53	0
108	141	117	180	0,00005	49,55630	49,55635	36	1
353	159	327	169	0,00001	49,31370	49,31371	97	0
405	43	412	79	0,00000	50,21320	50,21320	39	0
46	66	72	89	0,00002	49,62740	49,62742	76	0
74	189	38	174	-0,00004	49,97060	49,97056	52	0
294	147	257	166	0,00000	51,21320	51,21320	56	0
346	431	364	462	-0,00002	51,38480	51,38478	78	0
321	374	308	412	0,00004	49,14210	49,14214	70	0
417	258	386	283	-0,00001	51,79900	51,79899	63	1
50	337	82	361	-0,00004	48,97060	48,97056	64	0
369	463	406	445	0,00002	53,62740	53,62742	68	0
397	465	379	427	0,00001	55,31370	55,31371	55	0
15	479	43	502	-0,00004	53,97060	53,97056	103	0
78	164	52	129	-0,00004	55,87010	55,87006	80	0
89	110	61	82	-0,00001	53,79900	53,79899	50	0
293	508	257	482	0,00000	53,21320	53,21320	41	0
4	443	51	445	-0,00001	52,79900	52,79899	48	0
286	402	271	437	0,00002	52,62740	52,62742	83	0
201	1	163	6	0,00002	55,62740	55,62742	45	0
130	142	157	108	-0,00002	55,38480	55,38478	55	0
393	389	348	397	0,00005	56,55630	56,55635	62	0
273	228	260	270	-0,00004	59,87010	59,87006	116	0
308	302	285	332	0,00004	58,45580	58,45584	61	0
167	153	131	122	0,00002	57,62740	57,62742	78	0
422	266	453	277	0,00000	59,21320	59,21320	100	0
241	89	285	109	0,00004	57,45580	57,45584	60	0
190	164	190	217	0,00002	57,72790	57,72792	46	0
381	252	420	273	0,00002	58,62740	58,62742	76	0
253	429	234	470	-0,00004	58,87010	58,87006	79	0
59	359	41	403	-0,00002	58,38480	58,38478	103	0
172	429	125	417	-0,00001	60,79900	60,79899	77	0
113	113	73	93	-0,00004	60,97060	60,97056	64	1
348	141	380	170	0,00000	60,21320	60,21320	111	0
438	346	425	302	0,00000	62,21320	62,21320	101	0
253	436	297	435	0,00004	60,45580	60,45584	99	0
107	83	150	59	0,00002	63,62740	63,62742	131	0
26	242	11	195	0,00000	63,21320	63,21320	78	1
82	121	81	75	-0,00004	63,87010	63,87006	75	0
429	267	451	226	0,00004	60,45580	60,45584	98	0
359	231	350	275	0,00001	61,52690	61,52691	98	0
402	441	422	490	-0,00002	64,69850	64,69848	78	0
374	183	411	186	-0,00004	64,87010	64,87006	64	0
458	69	425	54	-0,00000	65,11270	65,11270	107	1
403	326	419	354	0,00003	66,04160	66,04163	212	0
427	244	377	258	0,00004	64,14210	64,14214	88	0
348	19	402	14	-0,00001	64,79900	64,79899	70	0
156	386	149	332	-0,00003	67,28430	67,28427	87	1
350	460	386	495	0,00004	66,45580	66,45584	109	0
139	374	124	421	0,00002	66,62740	66,62742	101	0
14	317	55	343	0,00002	67,62740	67,62742	71	0
20	67	69	90	-0,00001	69,79900	69,79899	148	0
244	499	203	459	0,00004	70,45580	70,45584	131	0
41	233	29	287	0,00003	68,04160	68,04163	97	1
145	491	132	437	0,00004	70,45580	70,45584	94	0
387	354	402	310	-0,00004	69,87010	69,87006	150	0
175	345	133	382	0,00002	71,62740	71,62742	128	0
255	221	259	161	0,00003	70,04160	70,04163	103	0
458	139	479	94	0,00004	71,45580	71,45584	154	1
180	300	147	276	-0,00004	69,87010	69,87006	134	0
253	139	255	86	-0,00001	68,79900	68,79899	125	0
243	252	185	250	-0,00002	72,38480	72,38478	96	0
291	206	290	148	0,00003	73,04160	73,04163	91	1
407	361	347	340	-0,00002	73,38480	73,38478	83	0
383	3	426	45	-0,00004	73,87010	73,87006	109	0
78	102	135	76	-0,00004	73,87010	73,87006	106	0
37	372	75	340	-0,00000	75,11270	75,11270	222	1
303	244	289	188	0,00004	75,45580	75,45584	116	0
273	45	306	95	0,00003	75,04160	75,04163	115	0
454	244	493	204	-0,00002	74,69850	74,69848	72	0
228	315	255	271	-0,00004	75,87010	75,87006	121	0
340	436	290	467	0,00004	76,45580	76,45584	135	1
324	51	271	14	0,00003	79,94110	79,94113	154	0
292	444	359	437	-0,00000	79,11270	79,11270	73	0
62	357	87	306	0,00003	77,94110	77,94113	169	0
196	153	237	202	-0,00002	77,69850	77,69848	139	1
2	369	19	311	-0,00002	79,38480	79,38478	99	0
250	137	206	173	0,00001	76,52690	76,52691	135	0
46	483	100	463	0,00002	76,62740	76,62742	158	0
45	54	21	116	0,00000	77,21320	77,21320	116	0
244	226	181	210	0,00004	78,45580	78,45584	114	1
327	313	310	376	-0,00002	83,69850	83,69848	165	0
